Name	color	Group	myLevel	Reign
Methylomirabilia	#FDBF6F	Class	1	bacteria
Planctomycetes	#E31A1C	Class	1	bacteria
Polyangia	#FB9A99	Class	1	bacteria
Thermoleophilia	#33A02C	Class	1	bacteria
unknown class	#B2DF8A	Class	1	bacteria
Verrucomicrobiae	#1F78B4	Class	1	bacteria
Vicinamibacteria	#A6CEE3	Class	1	bacteria
Acidobacteriales	#B15928	Order	1	bacteria
Burkholderiales	#FFFF99	Order	1	bacteria
Chthoniobacterales	#6A3D9A	Order	1	bacteria
Elsterales	#CAB2D6	Order	1	bacteria
Frankiales	#FF7F00	Order	1	bacteria
Gammaproteobacteria Incertae Sedis	#FDBF6F	Order	1	bacteria
Gemmatimonadales	#E31A1C	Order	1	bacteria
Rhizobiales	#FB9A99	Order	1	bacteria
Solirubrobacterales	#33A02C	Order	1	bacteria
Subgroup 2	#B2DF8A	Order	1	bacteria
unknown order	#1F78B4	Order	1	bacteria
Vicinamibacterales	#A6CEE3	Order	1	bacteria
Acidobacteriaceae (Subgroup 1)	#B15928	Family	2	bacteria
Acidothermaceae	#FFFF99	Family	3	bacteria
Bryobacteraceae	#6A3D9A	Family	4	bacteria
Chthoniobacteraceae	#CAB2D6	Family	5	bacteria
Gemmataceae	#FF7F00	Family	6	bacteria
Gemmatimonadaceae	#FDBF6F	Family	7	bacteria
Nitrosomonadaceae	#E31A1C	Family	8	bacteria
Pedosphaeraceae	#FB9A99	Family	9	bacteria
Solibacteraceae	#33A02C	Family	10	bacteria
Solirubrobacteraceae	#B2DF8A	Family	11	bacteria
unknown family	#1F78B4	Family	12	bacteria
Xanthobacteraceae	#A6CEE3	Family	13	bacteria
Acidibacter	#B15928	Genus	2	bacteria
Acidothermus	#FFFF99	Genus	3	bacteria
Bryobacter	#6A3D9A	Genus	4	bacteria
Candidatus Solibacter	#CAB2D6	Genus	5	bacteria
Candidatus Udaeobacter	#FF7F00	Genus	6	bacteria
Candidatus Xiphinematobacter	#FDBF6F	Genus	7	bacteria
GOUTA6	#E31A1C	Genus	8	bacteria
Haliangium	#FB9A99	Genus	9	bacteria
HSB OF53-F07	#33A02C	Genus	10	bacteria
Pedomicrobium	#B2DF8A	Genus	11	bacteria
unknown genus	#1F78B4	Genus	12	bacteria
	#A6CEE3	Genus	13	bacteria
