	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca
AMF-2020dry-67-S-OS	2020_dry	67-S-OS	67	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-68-N-OM	2020_dry	68-N-OM	68	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-68-N-OS	2020_dry	68-N-OS	68	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-68-S-OM	2020_dry	68-S-OM	68	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-68-S-OS	2020_dry	68-S-OS	68	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-69-N-OM	2020_dry	69-N-OM	69	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-69-N-OS	2020_dry	69-N-OS	69	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-69-S-OM	2020_dry	69-S-OM	69	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-69-S-OS	2020_dry	69-S-OS	69	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-70-N-OM	2020_dry	70-N-OM	70	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-70-N-OS	2020_dry	70-N-OS	70	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-70-S-OM	2020_dry	70-S-OM	70	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-70-S-OS	2020_dry	70-S-OS	70	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-71-N-OM	2020_dry	71-N-OM	71	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-71-N-OS	2020_dry	71-N-OS	71	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-71-S-OM	2020_dry	71-S-OM	71	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-71-S-OS	2020_dry	71-S-OS	71	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-72-N-OM	2020_dry	72-N-OM	72	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-72-N-OS	2020_dry	72-N-OS	72	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-72-S-OM	2020_dry	72-S-OM	72	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-72-S-OS	2020_dry	72-S-OS	72	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-73-E-OM	2020_dry	73-E-OM	73	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-73-E-OS	2020_dry	73-E-OS	73	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-73-W-OM	2020_dry	73-W-OM	73	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-73-W-OS	2020_dry	73-W-OS	73	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
