	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca	DBH	Corg	ratioCorg_N
ITS2-2019wet-70-S-OM	2019_wet	70-S-OM	70	S	OM	Quercus	Quercus_3	4.57	8.42	9.01	186.1	16.6	16.9572	278	108.197674418605	12.8500800972215
ITS2-2019wet-84-N-OM	2019_wet	84-N-OM	84	N	OM	Picea	Picea_3	4.58	6.32	19.72	129.31	7.29	0.9225	267	75.1802325581395	11.8956064174271
ITS2-2019wet-95-S-OM	2019_wet	95-S-OM	95	S	OM	Abies	Abies_3	4.58	4.66	13.45	98.24	6.73	0.2534	172	57.1162790697674	12.2567122467312
ITS2-2019wet-95-S-OS	2019_wet	95-S-OS	95	S	OS	Abies	Abies_3	4.58	17.39	13.92	502.64	23.31	6.6647	172	292.232558139535	16.8046324404563
ITS2-2019wet-94-S-OM	2019_wet	94-S-OM	94	S	OM	Abies	Abies_3	4.59	4.68	12.89	90.73	12.03	3.3096	143	52.75	11.2713675213675
ITS2-2019wet-95-N-OM	2019_wet	95-N-OM	95	N	OM	Abies	Abies_3	4.59	4.18	12.1	88.26	12.69	0.4131	172	51.3139534883721	12.2760654278402
ITS2-2019wet-96-N-OS	2019_wet	96-N-OS	96	N	OS	Abies	Abies_3	4.59	17.65	16.31	590.54	22.02	9.7034	200	343.337209302326	19.4525331049476
ITS2-2019wet-93-N-OM	2019_wet	93-N-OM	93	N	OM	Abies	Abies_3	4.6	5.33	14.24	109.24	5.88	0.6367	221	63.5116279069767	11.9158776560932
ITS2-2019wet-90-S-OS	2019_wet	90-S-OS	90	S	OS	Abies	Abies_2	4.61	16.16	17.42	539.47	22.37	7.2961	295	313.645348837209	19.4087468339857
ITS2-2019wet-73-W-OS	2019_wet	73-W-OS	73	W	OS	Picea	Picea_1	4.65	7.36	15.51	163.9	13.21	2.4872	103	95.2906976744186	12.9471056622851
ITS2-2019wet-83-N-OM	2019_wet	83-N-OM	83	N	OM	Picea	Picea_3	4.65	6.32	19.48	122.19	7.36	3.2327	292	71.0406976744186	11.2406167206359
ITS2-2019wet-83-S-OS	2019_wet	83-S-OS	83	S	OS	Picea	Picea_3	4.65	18.17	13.21	617.43	33.17	13.7177	292	358.970930232558	19.7562427205591
ITS2-2019wet-87-N-OS	2019_wet	87-N-OS	87	N	OS	Abies	Abies_1	4.65	16.1	13.61	488.05	30.68	0.1307	200	283.75	17.6242236024845
ITS2-2019wet-89-N-OM	2019_wet	89-N-OM	89	N	OM	Abies	Abies_2	4.65	5.99	16.07	128.6	11.83	0.3883	146	74.7674418604651	12.4820437162713
ITS2-2019wet-76-W-OM	2019_wet	76-W-OM	76	W	OM	Picea	Picea_1	4.66	10.24	12.09	121.74	14.91	0.9422	178	70.7790697674419	6.91201853197674
ITS2-2019wet-82-N-OM	2019_wet	82-N-OM	82	N	OM	Picea	Picea_3	4.68	5.31	28.37	109.23	9.65	0.1973	278	63.5058139534884	11.9596636447247
ITS2-2019wet-83-N-OS	2019_wet	83-N-OS	83	N	OS	Picea	Picea_3	4.68	20.15	16.46	561.8	17.98	15.9814	292	326.627906976744	16.2098216861908
ITS2-2019wet-69-S-OM	2019_wet	69-S-OM	69	S	OM	Quercus	Quercus_3	4.69	5.82	11.54	115.3	11.77	0.4266	333	67.0348837209302	11.5180212578918
ITS2-2019wet-83-S-OM	2019_wet	83-S-OM	83	S	OM	Picea	Picea_3	4.69	7.99	17.81	172.9	10.9	3.315	292	100.523255813953	12.581133393486
ITS2-2019wet-93-S-OM	2019_wet	93-S-OM	93	S	OM	Abies	Abies_3	4.69	4.06	17.5	95.67	8.42	0.3216	221	55.6220930232558	13.700022912132
ITS2-2019wet-85-S-OS	2019_wet	85-S-OS	85	S	OS	Abies	Abies_1	4.7	10.81	16.46	213.85	6.04	1.8646	158	124.331395348837	11.5015166835187
ITS2-2019wet-66-N-OM	2019_wet	66-N-OM	66	N	OM	Quercus	Quercus_2	4.71	6.38	13.13	197.26	9.16	1.45	409	114.686046511628	17.9758693591893
ITS2-2019wet-75-S-OS	2019_wet	75-S-OS	75	S	OS	Picea	Picea_1	4.72	10.81	12.73	436.2	33.23	3.1671	122	253.604651162791	23.4601897467891
ITS2-2019wet-75-N-OM	2019_wet	75-N-OM	75	N	OM	Picea	Picea_1	4.73	4.66	12.26	122.49	12.3	0.4226	122	71.2151162790698	15.2822137937918
ITS2-2019wet-75-S-OM	2019_wet	75-S-OM	75	S	OM	Picea	Picea_1	4.73	3.35	13.29	111.05	2.25	0.7734	122	64.5639534883721	19.2728219368275
ITS2-2019wet-78-N-OM	2019_wet	78-N-OM	78	N	OM	Picea	Picea_2	4.73	7.37	16.15	189.2	9.03	6.0164	231	110	14.9253731343284
ITS2-2019wet-82-N-OS	2019_wet	82-N-OS	82	N	OS	Picea	Picea_3	4.73	11.44	15.27	350.28	16.35	6.9329	278	203.651162790698	17.8016750691169
ITS2-2019wet-90-N-OS	2019_wet	90-N-OS	90	N	OS	Abies	Abies_2	4.73	7.61	14.64	546.86	19.96	8.9212	295	317.941860465116	41.7794823213031
ITS2-2019wet-90-N-OM	2019_wet	90-N-OM	90	N	OM	Abies	Abies_2	4.74	14.51	15.19	161.86	11.44	3.4899	295	94.1046511627907	6.48550318144664
ITS2-2019wet-75-N-OS	2019_wet	75-N-OS	75	N	OS	Picea	Picea_1	4.75	12.26	12.02	407.06	19.3	8.3297	122	236.662790697674	19.3036534011154
ITS2-2019wet-85-N-OS	2019_wet	85-N-OS	85	N	OS	Abies	Abies_1	4.76	8.26	18.61	171.86	3.38	2.1056	158	99.9186046511628	12.0966833718115
ITS2-2019wet-74-S-OS	2019_wet	74-S-OS	74	S	OS	Picea	Picea_1	4.79	11.4	13.05	311.8	20.01	7.6059	207	181.279069767442	15.9016727866177
ITS2-2019wet-94-N-OM	2019_wet	94-N-OM	94	N	OM	Abies	Abies_3	4.8	3.99	12.5	94.4	8.05	0.896	143	54.8837209302326	13.7553185288803
ITS2-2019wet-96-S-OM	2019_wet	96-S-OM	96	S	OM	Abies	Abies_3	4.82	4.97	13.69	116.61	21.91	0.6028	200	67.796511627907	13.6411492209068
ITS2-2019wet-73-W-OM	2019_wet	73-W-OM	73	W	OM	Picea	Picea_1	4.84	3.77	11.31	83.55	5.01	1.4333	103	48.5755813953488	12.8847696008883
ITS2-2019wet-93-N-OS	2019_wet	93-N-OS	93	N	OS	Abies	Abies_3	4.85	18.11	10.43	502.85	19.26	20.7114	221	292.354651162791	16.1432717373159
ITS2-2019wet-85-S-OM	2019_wet	85-S-OM	85	S	OM	Abies	Abies_1	4.9	7.48	24.79	138.85	10.23	1.6796	158	80.7267441860465	10.792345479418
ITS2-2019wet-78-N-OS	2019_wet	78-N-OS	78	N	OS	Picea	Picea_2	4.96	14.12	13.61	574.82	40.13	14.6537	231	334.197674418605	23.6683905395612
ITS2-2019wet-89-N-OS	2019_wet	89-N-OS	89	N	OS	Abies	Abies_2	4.96	16.16	11.47	641.9	32.01	8.2294	146	373.197674418605	23.0939154962008
ITS2-2019wet-65-N-OM	2019_wet	65-N-OM	65	N	OM	Quercus	Quercus_2	4.98	9.61	17.65	161.11	6.5	1.6326	209	93.6686046511628	9.74699319991288
ITS2-2019wet-76-E-OS	2019_wet	76-E-OS	76	E	OS	Picea	Picea_1	4.99	8.92	13.61	498	17.16	18.7894	178	289.53488372093	32.4590676817186
ITS2-2019wet-76-E-OM	2019_wet	76-E-OM	76	E	OM	Picea	Picea_1	5.01	5.02	11.86	159.6	9.09	3.2505	178	92.7906976744186	18.4842027239878
ITS2-2019wet-80-S-OM	2019_wet	80-S-OM	80	S	OM	Picea	Picea_2	5.02	12.84	17.34	117	8.69	0.6412	205	68.0232558139535	5.29776135622691
ITS2-2019wet-85-N-OM	2019_wet	85-N-OM	85	N	OM	Abies	Abies_1	5.02	5.55	17.97	143.39	3.89	2.4852	158	83.3662790697674	15.0209511837419
ITS2-2019wet-79-N-OM	2019_wet	79-N-OM	79	N	OM	Picea	Picea_2	5.05	8.47	16.62	176	16.74	1.6042	279	102.325581395349	12.0809423135005
ITS2-2019wet-84-S-OM	2019_wet	84-S-OM	84	S	OM	Picea	Picea_3	5.08	7.02	22.65	147.74	3.31	2.0935	267	85.8953488372093	12.2358046776651
ITS2-2019wet-84-S-OS	2019_wet	84-S-OS	84	S	OS	Picea	Picea_3	5.11	8.21	20.35	218.58	11.11	1.8507	267	127.081395348837	15.4788544882871
ITS2-2019wet-92-S-OM	2019_wet	92-S-OM	92	S	OM	Abies	Abies_2	5.13	5.92	13.54	139.72	10.33	2.6054	154	81.2325581395349	13.7217159019485
ITS2-2019wet-74-S-OM	2019_wet	74-S-OM	74	S	OM	Picea	Picea_1	5.14	4.93	9.08	111.5	8.98	0.639	207	64.8255813953488	13.1492051511864
ITS2-2019wet-79-S-OS	2019_wet	79-S-OS	79	S	OS	Picea	Picea_2	5.15	16.47	16.07	480.9	21.54	13.5703	279	279.593023255814	16.9758969797094
ITS2-2019wet-77-N-OS	2019_wet	77-N-OS	77	N	OS	Picea	Picea_2	5.17	13.4	18.13	351.6	22.89	11.8968	396	204.418604651163	15.2551197500868
ITS2-2019wet-87-N-OM	2019_wet	87-N-OM	87	N	OM	Abies	Abies_1	5.27	8.09	15.99	145.13	3.92	1.7196	200	84.3779069767442	10.4299019748757
ITS2-2019wet-92-S-OS	2019_wet	92-S-OS	92	S	OS	Abies	Abies_2	5.32	10.28	14.72	341	30.22	6.0174	154	198.255813953488	19.2855850149308
ITS2-2019wet-92-N-OM	2019_wet	92-N-OM	92	N	OM	Abies	Abies_2	5.33	5.68	14.88	127.31	16.56	0.8573	154	74.0174418604651	13.0312397641664
