	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca	DBH	Corg	ratioCorg_N
ITS2-2020dry-86-N-OM	2020_dry	86-N-OM	86	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020dry-86-N-OS	2020_dry	86-N-OS	86	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020dry-86-S-OM	2020_dry	86-S-OM	86	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020dry-86-S-OS	2020_dry	86-S-OS	86	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020wet-86-N-OM	2020_wet	86-N-OM	86	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020wet-86-N-OS	2020_wet	86-N-OS	86	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020wet-86-S-OM	2020_wet	86-S-OM	86	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020wet-86-S-OS	2020_wet	86-S-OS	86	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	120	NA	NA
ITS2-2020dry-87-N-OM	2020_dry	87-N-OM	87	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020dry-87-N-OS	2020_dry	87-N-OS	87	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020dry-87-S-OS	2020_dry	87-S-OS	87	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-87-N-OM	2020_wet	87-N-OM	87	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-87-N-OS	2020_wet	87-N-OS	87	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-87-S-OM	2020_wet	87-S-OM	87	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-87-S-OS	2020_wet	87-S-OS	87	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020dry-87-S-OM	2020_dry	87-S-OM	87	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020dry-88-N-OM	2020_dry	88-N-OM	88	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020dry-88-N-OS	2020_dry	88-N-OS	88	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020dry-88-S-OM	2020_dry	88-S-OM	88	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020dry-88-S-OS	2020_dry	88-S-OS	88	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020wet-88-N-OM	2020_wet	88-N-OM	88	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020wet-88-N-OS	2020_wet	88-N-OS	88	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020wet-88-S-OM	2020_wet	88-S-OM	88	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020wet-88-S-OS	2020_wet	88-S-OS	88	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	190	NA	NA
ITS2-2020dry-89-N-OM	2020_dry	89-N-OM	89	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020dry-89-N-OS	2020_dry	89-N-OS	89	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020dry-89-S-OM	2020_dry	89-S-OM	89	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020dry-89-S-OS	2020_dry	89-S-OS	89	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020wet-89-N-OM	2020_wet	89-N-OM	89	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020wet-89-N-OS	2020_wet	89-N-OS	89	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020wet-89-S-OS	2020_wet	89-S-OS	89	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020wet-89-S-OM	2020_wet	89-S-OM	89	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	146	NA	NA
ITS2-2020dry-90-N-OM	2020_dry	90-N-OM	90	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020dry-90-N-OS	2020_dry	90-N-OS	90	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020dry-90-S-OM	2020_dry	90-S-OM	90	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020dry-90-S-OS	2020_dry	90-S-OS	90	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020wet-90-N-OM	2020_wet	90-N-OM	90	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020wet-90-N-OS	2020_wet	90-N-OS	90	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020wet-90-S-OM	2020_wet	90-S-OM	90	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020wet-90-S-OS	2020_wet	90-S-OS	90	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	295	NA	NA
ITS2-2020dry-91-N-OM	2020_dry	91-N-OM	91	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020dry-91-N-OS	2020_dry	91-N-OS	91	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020dry-91-S-OM	2020_dry	91-S-OM	91	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020dry-91-S-OS	2020_dry	91-S-OS	91	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020wet-91-N-OM	2020_wet	91-N-OM	91	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020wet-91-N-OS	2020_wet	91-N-OS	91	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020wet-91-S-OM	2020_wet	91-S-OM	91	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020wet-91-S-OS	2020_wet	91-S-OS	91	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	153	NA	NA
ITS2-2020dry-92-N-OM	2020_dry	92-N-OM	92	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020dry-92-N-OS	2020_dry	92-N-OS	92	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020dry-92-S-OM	2020_dry	92-S-OM	92	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020dry-92-S-OS	2020_dry	92-S-OS	92	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020wet-92-N-OM	2020_wet	92-N-OM	92	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020wet-92-N-OS	2020_wet	92-N-OS	92	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020wet-92-S-OM	2020_wet	92-S-OM	92	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020wet-92-S-OS	2020_wet	92-S-OS	92	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA	154	NA	NA
ITS2-2020dry-93-N-OM	2020_dry	93-N-OM	93	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020dry-93-N-OS	2020_dry	93-N-OS	93	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020dry-93-S-OM	2020_dry	93-S-OM	93	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020dry-93-S-OS	2020_dry	93-S-OS	93	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020wet-93-N-OM	2020_wet	93-N-OM	93	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020wet-93-N-OS	2020_wet	93-N-OS	93	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020wet-93-S-OM	2020_wet	93-S-OM	93	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020wet-93-S-OS	2020_wet	93-S-OS	93	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	221	NA	NA
ITS2-2020dry-94-N-OM	2020_dry	94-N-OM	94	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020dry-94-N-OS	2020_dry	94-N-OS	94	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020dry-94-S-OM	2020_dry	94-S-OM	94	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020dry-94-S-OS	2020_dry	94-S-OS	94	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020wet-94-N-OM	2020_wet	94-N-OM	94	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020wet-94-N-OS	2020_wet	94-N-OS	94	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020wet-94-S-OM	2020_wet	94-S-OM	94	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020wet-94-S-OS	2020_wet	94-S-OS	94	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	143	NA	NA
ITS2-2020dry-95-N-OM	2020_dry	95-N-OM	95	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020dry-95-N-OS	2020_dry	95-N-OS	95	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020dry-95-S-OM	2020_dry	95-S-OM	95	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020dry-95-S-OS	2020_dry	95-S-OS	95	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020wet-95-N-OM	2020_wet	95-N-OM	95	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020wet-95-N-OS	2020_wet	95-N-OS	95	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020wet-95-S-OM	2020_wet	95-S-OM	95	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020wet-95-S-OS	2020_wet	95-S-OS	95	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	172	NA	NA
ITS2-2020dry-96-N-OM	2020_dry	96-N-OM	96	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020dry-96-N-OS	2020_dry	96-N-OS	96	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020dry-96-S-OM	2020_dry	96-S-OM	96	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020dry-96-S-OS	2020_dry	96-S-OS	96	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-96-N-OM	2020_wet	96-N-OM	96	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-96-N-OS	2020_wet	96-N-OS	96	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-96-S-OM	2020_wet	96-S-OM	96	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
ITS2-2020wet-96-S-OS	2020_wet	96-S-OS	96	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA	200	NA	NA
